transaction_id,date,reference,description,amount
V1001,2026-07-01,INV-2201,Office supplies delivery,1250.00
V1002,2026-07-03,INV-2202,Monthly maintenance contract,4800.00
V1003,2026-07-05,INV-2203,Consulting services - phase 1,15000.00
V1004,2026-07-08,INV-2204,Hardware purchase - laptops,32000.00
V1005,2026-07-10,INV-2205,Software license renewal,7600.00
V1006,2026-07-12,INV-2206,Freight and logistics,2100.00
V1007,2026-07-15,INV-2207,Consulting services - phase 2,15000.00
V1008,2026-07-18,INV-2208,Office supplies delivery,980.50
V1009,2026-07-20,INV-2209,Annual support fee,5400.00
V1010,2026-07-22,INV-2210,Marketing materials print run,3200.00
V1011,2026-07-25,INV-2211,Late payment penalty,150.00
V1012,2026-07-28,INV-2212,Equipment rental,6700.00
